ICD9,n_codes,freq_finngen_per,Finnish_name,possible_english_name
6500B,25827,6.46140%,PARTUS SINE COMPLICATIONE,Normal delivery
V252A,8223,2.05723%,STERILISAATIO,Sterilization
7890A,6404,1.60215%,DOLORES ABDOMINIS,Abdominal pain
2500B,5945,1.48732%,"DIABETES MELLITUS SINE COMPLICATIONE ,TYYPPI I",Diabetes mellitus without mention of complication
4549X,5619,1.40576%,VARICES VENARUM EXTREMITATUM INFERIORES NONULCERAM,Asymptomatic varicose veins
2180A,5237,1.31019%,LEIOMYOMA UTERI,Submucous leiomyoma of uterus
7227C,4493,1.12406%,SYNDROMA ISCHIADICUM,Intervertebral disc disorder with myelopathy
6350C,4361,1.09104%,"ABORTUS PROV LEGAL SINE COMPL,SOSIAALISET SYYT",Legally induced abortion complicated by genital tract and pelvic infection
4019X,3404,0.85161%,HYPERTONIA ARTERIALIS ESSENTIALIS,Unspecified essential hypertension
3039X,3153,0.78882%,ALKOHOLIRIIPPUVUUS,Other and unspecified alcohol dependence
4273A,2891,0.72327%,FIBRILLATIO SEU FLUCTUATIO ATRIORUM,Atrial fibrillation and flutter
5409X,2799,0.70025%,APPENDICITIS ACUTA SINE COMPLICATIONE,Acute appendicitis without mention of peritonitis
7140A,2778,0.69500%,ARTHRITIS RHEUMATOIDES SEROPOSITIVA,Rheumatoid arthritis
4740A,2776,0.69450%,TONSILLITIS PALATINAE CHRONICA SEU RECIDIVANS,Chronic tonsillitis and adenoiditis
6266A,2773,0.69375%,METRORRHAGIA,Metrorrhagia
V700A,2747,0.68724%,VAILLA DIAGNOOSIA JÄÄVÄ LÄÄKINNÄLLINEN TUTKIMUS,Routine general medical examination at a health care facility
7151F,2589,0.64772%,"OSTEOARTHROSIS PRIMARIA, POLVI","Osteoarthrosis, localized, primary"
2500A,2500,0.62545%,"DIABETES MELLITUS SINE COMPLICATIONE,TYYPPI II",Diabetes mellitus without mention of complication
4859X,2204,0.55140%,PNEUMONIA NUD,"Bronchopneumonia, organism unspecified"
4939X,2140,0.53539%,ASTHMA BRONCHIALE NUD,"Asthma, unspecified"
4659X,2117,0.52963%,INFECTIO RESPIRATORIA SUPERIORIS ACUTA NUD,Acute upper respiratory infections of unspecified site
5509B,2106,0.52688%,"HERNIA INGUINALIS SINE GANGR/OBSTR,LATERALIS (SCROT","Inguinal hernia, without mention of obstruction or gangrene"
6488A,2006,0.50186%,EPÄNORMAALI GLUKOOSITOLERANSSI RASKAUDEN AIKANA,"Abnormal glucose tolerance of mother, complicating pregnancy, childbirth, or the puerperium"
3472A,1972,0.49336%,OBSTRUKTIIVINEN UNIAPNEA,Cataplexy and narcolepsy
3018D,1963,0.49110%,EPÄVAKAA PERSOONALLISUUS,Other personality disorders
6262A,1950,0.48785%,HYPERMENORRHOEA,Excessive or frequent menstruation
2989X,1912,0.47834%,EPÄTYYPILL JA TARKEMMIN MÄÄRITTELEMÄTÖN PSYKOOSI,Unspecified psychosis
5742A,1830,0.45783%,"CHOLECYSTOLITHIASIS SINE CHOLECYSTITIDE,SINE OBSTR",Calculus of gallbladder without mention of cholecystitis
4130B,1795,0.44907%,"ANGINA PECTORIS (""EFFORT ANGINA""),AHTAUTUNUT",Angina decubitus
7170A,1772,0.44332%,LAESIO MENISCI MEDIALIS,Old bucket handle tear of medial meniscus
7350A,1722,0.43081%,HALLUX VALGUS ACQUISITUS,Hallux valgus (acquired)
6340A,1688,0.42230%,ABORTUS SPONTANEUS SINE COMPLICATIONE,Spontaneous abortion complicated by genital tract and pelvic infection
4610A,1663,0.41605%,SINUITIS MAXILLARIS ACUTA,Acute maxillary sinusitis
6440A,1622,0.40579%,PARTUS PRAEMATURUS IMMINENS,Threatened premature labor
4130X,1573,0.39353%,"ANGINA PECTORIS (""EFFORT ANGINA""),MÄÄRITTELEMÄT",Angina decubitus
7865A,1557,0.38953%,DOLORES THORACIS NUD,Chest pain
4742A,1542,0.38578%,TONSILLITIS PHARYNGICA CHRONICA,Adenoid vegetations
3812A,1540,0.38528%,OTITIS MEDIA SECRETORIA,Chronic mucoid otitis media
4730A,1528,0.38228%,SINUITIS MAXILLARIS CHRONICA,Chronic maxillary sinusitis
4930A,1452,0.36326%,EXTRINSIC ASTHMA SINE EXACERBATIONE,Extrinsic asthma
2968A,1438,0.35976%,DEPRESSIO MENTIS NUD,Other and unspecified bipolar disorders
V220A,1353,0.33849%,NORMAALIN RASKAUDEN SEURANTA,Supervision of normal first pregnancy
