concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,tmp_main_icd10fi,tmp_name_fi,tmp_name_en_source
1,"ICPC1, ICPC2, ICPC2proc",Metadata,Vocabulary,Vocabulary,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,NA,NA
2,ICPC1,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,NA,NA
3,ICPC2,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,NA,NA
4,ICPC2proc,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,NA,NA
5,Medical examin/health eval complete,Procedure,ICPC,ICPC2proc,NA,-30,1970-01-01,2099-12-31,NA,NA,Laaja terveydentilan arviointi/tarkastus,THL
6,Medical examin/health eval partial,Procedure,ICPC,ICPC2proc,NA,-31,1970-01-01,2099-12-31,NA,NA,Suppea terveydentilan arviointi/tarkastus,THL
7,Sensitivity test,Procedure,ICPC,ICPC2proc,NA,-32,1970-01-01,2099-12-31,NA,NA,Allergiatutkimus,THL
8,Microbiological/immunological test,Procedure,ICPC,ICPC2proc,NA,-33,1970-01-01,2099-12-31,NA,NA,Mikrobiologinen/immunologinen koe,THL
9,Blood test,Procedure,ICPC,ICPC2proc,NA,-34,1970-01-01,2099-12-31,NA,NA,Veritutkimus,THL
10,Urine test,Procedure,ICPC,ICPC2proc,NA,-35,1970-01-01,2099-12-31,NA,NA,Virtsatutkimus,THL
11,Faeces test,Procedure,ICPC,ICPC2proc,NA,-36,1970-01-01,2099-12-31,NA,NA,Ulostetutkimus,THL
12,Histological/exfoliative cytology,Procedure,ICPC,ICPC2proc,NA,-37,1970-01-01,2099-12-31,NA,NA,Histologinen/sytologinen tutkimus,THL
13,Other laboratory test NEC,Procedure,ICPC,ICPC2proc,NA,-38,1970-01-01,2099-12-31,NA,NA,Muu laboratoriotutkimus,THL
14,Physical function test,Procedure,ICPC,ICPC2proc,NA,-39,1970-01-01,2099-12-31,NA,NA,Kliininen toimintakoe,THL
15,Diagnostic endoscopy,Procedure,ICPC,ICPC2proc,NA,-40,1970-01-01,2099-12-31,NA,NA,Diagnostinen endoskopia,THL
16,Diagnostic radiology/imaging,Procedure,ICPC,ICPC2proc,NA,-41,1970-01-01,2099-12-31,NA,NA,Diagnostinen kuvantaminen,THL
17,Electrical tracing,Procedure,ICPC,ICPC2proc,NA,-42,1970-01-01,2099-12-31,NA,NA,Elektrofysiologinen tutkimus,THL
18,Other diagnostic procedure,Procedure,ICPC,ICPC2proc,NA,-43,1970-01-01,2099-12-31,NA,NA,Muu tutkimustoimenpide,THL
19,Preventive immunization/medic,Procedure,ICPC,ICPC2proc,NA,-44,1970-01-01,2099-12-31,NA,NA,Rokotus / ennaltaehkäisevä lääkitys,THL
20,Observ/health educat/advice/diet,Procedure,ICPC,ICPC2proc,NA,-45,1970-01-01,2099-12-31,NA,NA,Seuranta/terveysneuvonta/ruokavalioneuvonta,THL
21,Consultation primary care provider,Procedure,ICPC,ICPC2proc,NA,-46,1970-01-01,2099-12-31,NA,NA,Perusterveydenhuollon asiantuntijan konsultaatio,THL
22,Consultation with specialist,Procedure,ICPC,ICPC2proc,NA,-47,1970-01-01,2099-12-31,NA,NA,Erikoislääkärin konsultaatio,THL
23,Clarification/discussion RFE/demand,Procedure,ICPC,ICPC2proc,NA,-48,1970-01-01,2099-12-31,NA,NA,Potilaan tarpeiden/tulosyyn selvittäminen,THL
24,Other preventive procedure,Procedure,ICPC,ICPC2proc,NA,-49,1970-01-01,2099-12-31,NA,NA,Muu ennaltaehkäisevä toimenpide,THL
25,Medication/prescr/renewal,Procedure,ICPC,ICPC2proc,NA,-50,1970-01-01,2099-12-31,NA,NA,Lääkitys/lääkemääräys/uusinta/injektio,THL
26,I&d/flush/aspiration,Procedure,ICPC,ICPC2proc,NA,-51,1970-01-01,2099-12-31,NA,NA,Aukaisu/kanylointi/huuhtelu/imu/nesteenpoisto,THL
27,Exc/remov/biopsy/destruc/debrid/caut,Procedure,ICPC,ICPC2proc,NA,-52,1970-01-01,2099-12-31,NA,NA,Kudoksen poisto/poltto/tuhoaminen / koepalan otto / kudosjätteen poisto,THL
28,Instrument/catheter/intubate/dilate,Procedure,ICPC,ICPC2proc,NA,-53,1970-01-01,2099-12-31,NA,NA,Katetrointi/intubointi/laajentaminen,THL
29,Repair/fix-suture/cast/prosth device,Procedure,ICPC,ICPC2proc,NA,-54,1970-01-01,2099-12-31,NA,NA,Ompelu/korjaus/kipsaus / proteesin asennus (tai poisto),THL
30,Local injection/infiltration,Procedure,ICPC,ICPC2proc,NA,-55,1970-01-01,2099-12-31,NA,NA,Paikallinen lääkeaineinjektio,THL
31,Dressing/pressure/compress/tamponade,Procedure,ICPC,ICPC2proc,NA,-56,1970-01-01,2099-12-31,NA,NA,Sidos/kompressi/tamponointi,THL
32,Physical medicine/rehabilitation,Procedure,ICPC,ICPC2proc,NA,-57,1970-01-01,2099-12-31,NA,NA,Fysikaalinen hoito / kuntoutus,THL
33,Therapeutic counselling/listening,Procedure,ICPC,ICPC2proc,NA,-58,1970-01-01,2099-12-31,NA,NA,Terapeuttinen neuvonta / kuuntelu,THL
34,Other therap proced/minor surg NEC,Procedure,ICPC,ICPC2proc,NA,-59,1970-01-01,2099-12-31,NA,NA,Muu hoitotoimenpide / muualla luokittelematon pikkukirurgia,THL
35,Result test/procedure,Procedure,ICPC,ICPC2proc,NA,-60,1970-01-01,2099-12-31,NA,NA,Tutkimustulosten kuuleminen,THL
36,Result examination/test/record/letter from other provider,Procedure,ICPC,ICPC2proc,NA,-61,1970-01-01,2099-12-31,NA,NA,Tutkimustulos/testitulos/potilaskertomus/kirje toiselta hoidonantajalta,THL
37,Administrative procedure,Procedure,ICPC,ICPC2proc,NA,-62,1970-01-01,2099-12-31,NA,NA,Hallinnollinen toimenpide,THL
38,Follow-up encounter unspecified,Procedure,ICPC,ICPC2proc,NA,-63,1970-01-01,2099-12-31,NA,NA,Muu seurantakäynti,THL
39,Encounter/prob initiated by provider,Procedure,ICPC,ICPC2proc,NA,-64,1970-01-01,2099-12-31,NA,NA,Hoidonantajan käynnistämä tapahtuma,THL
40,Enc/prob init by other than pt/prov,Procedure,ICPC,ICPC2proc,NA,-65,1970-01-01,2099-12-31,NA,NA,Muun henkilön käynnistämä tapahtuma,THL
41,Referral to non-MD provider,Procedure,ICPC,ICPC2proc,NA,-66,1970-01-01,2099-12-31,NA,NA,Lähete perusterveydenhuollon ammattihenkilölle (pl. lääkäri),THL
