sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:Pitkä.nimi,matchScore,mappingStatus,conceptId,comment
TIF1y,,11,,NA NA,0.0,UNCHECKED,0,
CFU-GM/kg,,2132,,NA NA,0.0,APPROVED,4222725,
S -LGI1Ab,,2,,NA Serum,0.0,UNCHECKED,0,
S -KostAbG,,5,,NA Serum,0.0,UNCHECKED,0,
Titteri,,11,,NA NA,0.0,UNCHECKED,0,
S -LGI1Ab,,2,,NA Serum,0.0,UNCHECKED,0,
Pt-Paino,,2132,,NA Patient,0.0,APPROVED,3025315,
Tu-GenEsik,,11,,NA NA,0.0,UNCHECKED,0,
B -DNAmut,,2129,,NA Blood,0.0,APPROVED,4237017,
B -DNAmut,,2129,,NA Blood,0.0,APPROVED,45878416,
S -Teicopl,S -Teikoplanin Serum,16,,S -Teikoplaniini,0.4722740650177002,UNCHECKED,379015,
U -MgKre,,11,,NA Urine,0.0,UNCHECKED,0,
As-Prot,As-Protein Ascitic fluid,329,,As-Proteiini,0.6733611226081848,UNCHECKED,37394003,
S -TrorAbE,,16,,NA Serum,0.0,UNCHECKED,0,
U -BKVNh,"U -BK virus, nucleic acid (quantum) Urine",36,,"U -BK-virus, nukleiinihappo (kvant)",0.4980084002017975,UNCHECKED,37394267,
U -MgKre,,11,,NA Urine,0.0,UNCHECKED,0,
S -TymidK,S-Thymidine Kinase Serum,2118,,S -Tymidiinikinaasi,0.7731348276138306,APPROVED,3045066,
S -MaitAb,"S -Cow's milk, antibodies Serum",2,,"S -Lehmänmaito, vasta-aineet",0.6816337704658508,UNCHECKED,4290627,
S -MaitAbA,,2,,NA Serum,0.0,UNCHECKED,0,
S -LehmhiE,"S -Cow dandruff (e4), IgE antibodies Serum",5,,"S -Lehmän hilse (e4), IgE-vasta-aineet",0.41276636719703674,UNCHECKED,4265788,
U -Oligs-O,U -Oligosaccharides (quin) Urine,16,,U -Oligosakkaridit (kval),0.5656622052192688,UNCHECKED,4263604,
S -MaitAbG,,2,,NA Serum,0.0,UNCHECKED,0,
-ADP,,15,,NA NA,0.0,UNCHECKED,0,
S -LeuAbKS,,5,,NA Serum,0.0,UNCHECKED,0,
U -JCVNh,"U -JC virus, nucleic acid (quantum) Urine",36,,"U -JC-virus, nukleiinihappo (kvant)",0.5095095634460449,UNCHECKED,44789521,
-HPVNhO,"-Papillomavirus, nucleic acid (qual) NA",10,,"-Papilloomavirus, nukleiinihappo (kval)",0.5858587622642517,UNCHECKED,4004708,
S -MarAbE,,2,,NA Serum,0.0,UNCHECKED,0,
Ts-PADGast,Histological examination of Ts-Gastroscopy specimens Tissue,13364,,Ts-Gastroskopianäytteiden histologinen tutkimus,0.5066750645637512,APPROVED,43531144,
-ASPI,,15,,NA NA,0.0,UNCHECKED,0,
S -MarAbG,,2,,NA Serum,0.0,UNCHECKED,0,
S -ADA,S -Adenosine Deaminase Serum,2100,,S -Adenosiinideaminaasi,0.7320215702056885,APPROVED,4014887,
-KOLL,,15,,NA NA,0.0,UNCHECKED,0,
S -Norklob,S -Norklobazam Serum,5,,S -Norklobatsaami,0.5200956463813782,UNCHECKED,37393686,
S -MarsepE,,2,,NA Serum,0.0,UNCHECKED,0,
-RistoHi,,15,,NA NA,0.0,UNCHECKED,0,
S -tTGAbG,"S-Tissue transglutaminase, IgG antibodies Serum",329,,"S -Kudostransglutaminaasi, IgG-vasta-aineet",0.7049387693405151,UNCHECKED,36717377,
S -NurmspE,,2,,NA Serum,0.0,UNCHECKED,0,
-RistoLo,,15,,NA NA,0.0,UNCHECKED,0,
-TRAP,,15,,NA NA,0.0,UNCHECKED,0,
ADPtest HS,,15,,NA NA,0.0,UNCHECKED,0,
U -PoVNh,"U -Polyoma virus, nucleic acid (quantum) Urine",36,,"U -Polyoomavirus, nukleiinihappo (kvant)",0.45115408301353455,UNCHECKED,44789503,
S -HCVAb,"S -Hepatitis C virus, antibodies Serum",13266,,"S -Hepatiitti C -virus, vasta-aineet",0.6307127475738525,APPROVED,3017143,
S -SiliAb,"S -Smooth muscle, antibodies Serum",2099,,"S -Sileälihas, vasta-aineet",0.6408436298370361,APPROVED,4179789,
S -Nortrip,S-Nortriptyline Serum,5,,S -Nortriptyliini,0.6787848472595215,UNCHECKED,37398599,
-BorrNhO,"-Borrelia, nucleic acid (quat) NA",324,,"-Borrelia, nukleiinihappo (kval)",0.4726675748825073,UNCHECKED,4099744,
B -CFTR-D,"B-Cystic fibrosis gene, DNA study Blood",10,,"B -Kystisen fibroosin geeni, DNA-tutkimus",0.5176539421081543,UNCHECKED,36210125,
S -PuuAbE,,5,,NA Serum,0.0,UNCHECKED,0,
S -ParoAb,"S-Mumps virus, antibodies Serum",2,,"S -Sikotautivirus, vasta-aineet",0.6454428434371948,UNCHECKED,4025443,
S -PechAbE,,2,,NA Serum,0.0,UNCHECKED,0,
S -PecrAbE,,2,,NA Serum,0.0,UNCHECKED,0,
Am-AFP,Am-Alpha-1-fetoprotein Amniotic fluid,15,,Am-Alfa-1-fetoproteiini,0.8424664735794067,UNCHECKED,3040768,
dU-Adr,dU-Adrenaline diurnal Urine,35,,dU-Adrenaliini,0.4338008463382721,UNCHECKED,35616343,
S -PeexAbE,,2,,NA Serum,0.0,UNCHECKED,0,
Am-AFP(SD),,15,,NA Amniotic fluid,0.0,UNCHECKED,0,
fP-Hcyst,,35,,NA Plasma from fasting patient,0.0,UNCHECKED,0,
S -PeglAbE,,2,,NA Serum,0.0,UNCHECKED,0,
P -PC-SPR,,35,,NA Plasma,0.0,UNCHECKED,0,
P -CK-MB,"P-Creatine kinase, MB subunit Plasma",2092,,"P -Kreatiinikinaasi, MB-alayksikkö",0.4822615683078766,APPROVED,4017058,
S -PholAbE,,2,,NA Serum,0.0,UNCHECKED,0,
P -Porf-O,,35,,NA Plasma,0.0,UNCHECKED,0,
S -PholAbG,,2,,NA Serum,0.0,UNCHECKED,0,
S -All-F6,,35,,NA Serum,0.0,UNCHECKED,0,
S -Pin2Ab,,2,,NA Serum,0.0,UNCHECKED,0,
S -RiisiE,"S -Rice (f9), IgE antibodies Serum",5,,"S -Riisi (f9), IgE-vasta-aineet",0.4528076648712158,UNCHECKED,4328224,
Ts-PADColo,Histological Examination of Ts-Colonoscopy Samples Tissue,13010,,Ts-Kolonoskopianäytteiden histologinen tutkimus,0.46791988611221313,APPROVED,43531142,
S -SipuliE,,5,,NA Serum,0.0,UNCHECKED,0,
S -Amyl,S-Amylase Serum,35,,S -Amylaasi,0.6526601314544678,UNCHECKED,4305252,
S -StalAbG,,5,,NA Serum,0.0,UNCHECKED,0,
Ly-CD4/CD8,"Ly-helper cell-inhibitor cell ratio, immunophenotyping Lymphocyte",323,,"Ly-Auttajasolujen ja estäjäsolujen suhde, immunofenotyypitys",0.4387342035770416,UNCHECKED,37393598,
S -Estdio,,35,,NA Serum,0.0,UNCHECKED,0,
S -StchAbG,,5,,NA Serum,0.0,UNCHECKED,0,
TRFVSHLS4,,322,,NA NA,0.0,UNCHECKED,0,
S -SthaAbG,,5,,NA Serum,0.0,UNCHECKED,0,
-TbNhO,"-Mycobacterium tuberculosis, nucleic acid (quat) NA",2087,,"-Mycobacterium tuberculosis, nukleiinihappo (kval)",0.6263071894645691,APPROVED,4045143,
S -Pin3Ab,"S -Painfluenza 3 virus, antibodies Serum",2,,"S -Parainfluenssa 3 -virus, vasta-aineet",0.5865229964256287,UNCHECKED,4125232,
B -HUNT-D,"B -Huntington's disease, DNA study of ITI5 gene repeat extension Blood",10,,"B -Huntingtonin tauti, ITI5-geenin toistojakson ekspansion DNA-tutkimus",0.46894609928131104,UNCHECKED,36210137,
S -HBsAg,"S-Hepatitis B virus, s-antigen Serum",12843,,"S -Hepatiitti B -virus, s-antigeeni",0.6097638607025146,APPROVED,4168615,
B -LDLRe-2,,10,,NA Blood,0.0,UNCHECKED,0,
Am-FISHAn,"Am-Fluorescence in situ hybridization study, aneuploidy Amniotic fluid",15,,"Am-Fluoresenssi in situ hybridisaatiotutkimus, aneuploidia",0.6321906447410583,UNCHECKED,40481948,
vB-O2Hb,,12437,,NA venous Blood,0.0,APPROVED,3019230,
Bl-Alb,,10,,NA Bronchoalveolar lavation,0.0,UNCHECKED,0,
S -MetMal,S-Methyl Malonate Serum,35,,S -Metyylimalonaatti,0.5582846403121948,UNCHECKED,4203938,
B -Agalak,,15,,NA Blood,0.0,UNCHECKED,0,
Pf-C4,Pf-Complement C4 Pleural fluid,319,,Pf-Komplementti C4,0.5793380737304688,UNCHECKED,3044416,
Ts-RAS1-D,,319,,NA Tissue,0.0,UNCHECKED,0,
Sk-SienVi,"Sk-Mushroom, Cultivation Skin",2081,,"Sk-Sieni, viljely",0.5074038505554199,APPROVED,3019439,
S -TomaatE,"S -Tomato (f25), IgE antibodies Serum",5,,"S -Tomaatti (f25), IgE-vasta-aineet",0.29773443937301636,UNCHECKED,4303693,
Ex-Eos,"Ex-Eosinophils, sputum Expectorate, sputum",10,,"Ex-Eosinofiilit, yskös",0.44915398955345154,UNCHECKED,4287098,
S -TrorAbG,,5,,NA Serum,0.0,UNCHECKED,0,
Gj-Intoks,,10,,NA Gastric juice,0.0,UNCHECKED,0,
S -PlihAb,"S-Transverse striated muscle, antibodies Serum",2,,"S -Poikkijuovalihas, vasta-aineet",0.5390980839729309,UNCHECKED,4005015,
cU-MHistam,cU-Methylhistamine collected Urine,15,,cU-Metyylihistamiini,0.6574426889419556,UNCHECKED,4020056,
S -RickAb,"S -Rickettsia, Antibodies Serum",35,,"S -Rickettsia, vasta-aineet",0.5857028961181641,UNCHECKED,4025142,
S -vAldos,,5,,NA Serum,0.0,UNCHECKED,0,
P -oKorsol,,10,,NA Plasma,0.0,UNCHECKED,0,
S -Poli1Ab,,2,,NA Serum,0.0,UNCHECKED,0,
P -AT3-Ag,,15,,NA Plasma,0.0,UNCHECKED,0,
S -Poli2Ab,,2,,NA Serum,0.0,UNCHECKED,0,
PSVSPES,,15,,NA NA,0.0,UNCHECKED,0,
S -Poli3Ab,,2,,NA Serum,0.0,UNCHECKED,0,
S -All-FX5,,15,,NA Serum,0.0,UNCHECKED,0,
S -Pregaba,,2,,NA Serum,0.0,UNCHECKED,0,
S -All-S,,15,,NA Serum,0.0,UNCHECKED,0,
Pt-LRH-R,Pt-LRH test Patient,10,,Pt-LRH-koe,0.2927282154560089,UNCHECKED,4225059,
S -HIVAgAb,"S-HI virus, antigen and antibodies, combination study Serum",12262,,"S -HI-virus, antigeeni ja vasta-aineet, yhdistelmätutkimus",0.3489648103713989,APPROVED,4013104,
S -HIVAgAb,"S-HI virus, antigen and antibodies, combination study Serum",12262,,"S -HI-virus, antigeeni ja vasta-aineet, yhdistelmätutkimus",0.3489648103713989,APPROVED,4136494,
S -All-T2,,15,,NA Serum,0.0,UNCHECKED,0,
S -All-F35,,10,,NA Serum,0.0,UNCHECKED,0,
